"REF_DATE","GEO","DGUID","Estimates","UOM","UOM_ID","SCALAR_FACTOR","SCALAR_ID","VECTOR","COORDINATE","VALUE","STATUS","SYMBOL","TERMINATED","DECIMALS"
"2008-10","Canada","2016A000011124","Deaths","Number","223","units","0","v77","1.2","61383","","","","0"
"2009-01","Canada","2016A000011124","Deaths","Number","223","units","0","v77","1.2","62679","","","","0"
"2009-04","Canada","2016A000011124","Deaths","Number","223","units","0","v77","1.2","58148","","","","0"
"2009-07","Canada","2016A000011124","Deaths","Number","223","units","0","v77","1.2","55959","","","","0"
"2009-10","Canada","2016A000011124","Deaths","Number","223","units","0","v77","1.2","61870","","","","0"
"2010-01","Canada","2016A000011124","Deaths","Number","223","units","0","v77","1.2","61206","","","","0"
"2010-04","Canada","2016A000011124","Deaths","Number","223","units","0","v77","1.2","58295","","","","0"
"2010-07","Canada","2016A000011124","Deaths","Number","223","units","0","v77","1.2","57782","","","","0"
"2010-10","Canada","2016A000011124","Deaths","Number","223","units","0","v77","1.2","62970","","","","0"
"2011-01","Canada","2016A000011124","Deaths","Number","223","units","0","v77","1.2","65348","","","","0"
"2011-04","Canada","2016A000011124","Deaths","Number","223","units","0","v77","1.2","59567","","","","0"
"2011-07","Canada","2016A000011124","Deaths","Number","223","units","0","v77","1.2","57272","","","","0"
"2011-10","Canada","2016A000011124","Deaths","Number","223","units","0","v77","1.2","61518","","","","0"
"2012-01","Canada","2016A000011124","Deaths","Number","223","units","0","v77","1.2","64103","","","","0"
"2012-04","Canada","2016A000011124","Deaths","Number","223","units","0","v77","1.2","59776","","","","0"
"2012-07","Canada","2016A000011124","Deaths","Number","223","units","0","v77","1.2","58418","","","","0"
"2012-10","Canada","2016A000011124","Deaths","Number","223","units","0","v77","1.2","64598","","","","0"
"2013-01","Canada","2016A000011124","Deaths","Number","223","units","0","v77","1.2","68169","","","","0"
"2013-04","Canada","2016A000011124","Deaths","Number","223","units","0","v77","1.2","60680","","","","0"
"2013-07","Canada","2016A000011124","Deaths","Number","223","units","0","v77","1.2","59027","","","","0"
"2013-10","Canada","2016A000011124","Deaths","Number","223","units","0","v77","1.2","64547","","","","0"
"2014-01","Canada","2016A000011124","Deaths","Number","223","units","0","v77","1.2","66905","","","","0"
"2014-04","Canada","2016A000011124","Deaths","Number","223","units","0","v77","1.2","62643","","","","0"
"2014-07","Canada","2016A000011124","Deaths","Number","223","units","0","v77","1.2","60902","","","","0"
"2014-10","Canada","2016A000011124","Deaths","Number","223","units","0","v77","1.2","68449","","","","0"
"2015-01","Canada","2016A000011124","Deaths","Number","223","units","0","v77","1.2","73200","","","","0"
"2015-04","Canada","2016A000011124","Deaths","Number","223","units","0","v77","1.2","63762","","","","0"
"2015-07","Canada","2016A000011124","Deaths","Number","223","units","0","v77","1.2","61009","","","","0"
"2015-10","Canada","2016A000011124","Deaths","Number","223","units","0","v77","1.2","66554","","","","0"
"2016-01","Canada","2016A000011124","Deaths","Number","223","units","0","v77","1.2","69974","","","","0"
"2016-04","Canada","2016A000011124","Deaths","Number","223","units","0","v77","1.2","64741","","","","0"
"2016-07","Canada","2016A000011124","Deaths","Number","223","units","0","v77","1.2","62973","","","","0"
"2016-10","Canada","2016A000011124","Deaths","Number","223","units","0","v77","1.2","69876","","","","0"
"2017-01","Canada","2016A000011124","Deaths","Number","223","units","0","v77","1.2","75303","","","","0"
"2017-04","Canada","2016A000011124","Deaths","Number","223","units","0","v77","1.2","66365","","","","0"
